ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Backorders allowed?	Sold individually?	Weight (g)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position	Meta: _wp_desired_post_slug	Meta: _customize_changeset_uuid
460	simple		S?a B?t Abbott Similac Eye-Q4 (1.7kg)	1	0	visible					taxable		1		0	0					1			661000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/73/aa/6b/2f1fa3207c1ee8268f5f6633e79d098d.jpg									0		
461	simple		S?a B?t Abbott Similac IQ4 (900g)	1	0	visible					taxable		1		0	0					1			419000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/b9/76/11/40861b3f9d3bc1bfbc93d2287e41465a.jpg									0		
462	simple		L?c 4 H?p S?a Công Th?c Pha S?n Abbott Similac Eye-Q4 (180ml / H?p)	1	0	visible					taxable		1		0	0					1			68000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/4e/7f/38/34babf11086ede094f65040c6ed967b4.jpg									0		
463	simple		B?t ?n D?m Mabu (400g)	1	0	visible					taxable		1		0	0					1			69000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/o/bot400_1.u5430.d20170814.t183003.105995.jpg									0		
464	simple		B?t ?n D?m Mabu (900g)	1	0	visible					taxable		1		0	0					1			139000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/o/bot900_1.u5430.d20170815.t084157.833072.jpg									0		
465	simple		Cháo ?n D?m Mabu H?t V? (400g)	1	0	visible					taxable		1		0	0					1			69000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/c/h/chaoso1_400_0.u5430.d20170815.t090518.246220.jpg									0		
466	simple		Cháo ?n D?m Mabu H?t V? (900g)	1	0	visible					taxable		1		0	0					1			139000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/c/h/chaoso1_900_1.u5430.d20170815.t091635.469852.jpg									0		
467	simple		Cháo ?n D?m Mabu Nguyên H?t (400g)	1	0	visible					taxable		1		0	0					1			69000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/c/h/chaoso2_400_2_2.u5430.d20170815.t093044.347941.jpg									0		
468	simple		Bánh Qui Dành Cho Tr? Biscotti Heinz V? Sô-Cô-La (60g x 12 Gói)	1	0	visible					taxable		1		0	0					1			464000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/b/1biscottichocolate.u2442.d20160520.t115100.jpg									0		
469	simple		Bánh Qui Dành Cho Tr? Em Farley Heinz V? Chu?i 120g	1	0	visible					taxable		1		0	0					1			40000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/f/a/farbey-banana.u2442.d20160520.t112746.jpg									0		
470	simple		B?t ?n D?m V? M? Ý Rau C? Phô Mai Heinz (100g)	1	0	visible					taxable		1		0	0					1			95000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/0/2/0288717_l.jpg									0		
471	simple		B?t ?n D?m Ng? C?c Trái Cây Mùa Hè Heinz (120g)	1	0	visible					taxable		1		0	0					1			95000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/4/1434958423_heinz.jpg									0		
472	simple		B?t ?n D?m Ng? C?c Y?n M?ch Và Táo Heinz (125g)	1	0	visible					taxable		1		0	0					1			95000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/4/1434957764_heinz_1.jpg									0		
473	simple		B? Bát ??a T?p ?n Mini Pigeon	1	0	visible					taxable		1		0	0					1			143000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/a/bat_dia_tap_n_mini.jpg									0		
